,Specialization,Doctor_Name,Experience,Location,Consultation_fee,Rating,Review,Hospital_Name
0,['Orthopedist2'],Dr. Arun Kumar Nadimpalli,24 years experience overall,"Somajiguda,Hyderabad",₹600,90% ,12 Patient Stories,Assisted Surgery Experience
1,['General Surgeon2'],Dr. Rajeshwar Kamineni,25 years experience overall,"Kondapur,Hyderabad",₹600,100% ,27 Patient Stories,Assisted Surgery Experience
2,['General Surgeon1'],Dr. Mohd Ilyas,15 years experience overall,"Himayat Nagar,Hyderabad",₹499,87% ,13 Patient Stories,Assisted Surgery Experience
3,['Orthopedist1'],Dr. Kaushik B K,10 years experience overall,"SR Nagar,Hyderabad",₹500,67% ,NaN,Assisted Surgery Experience
4,['General Surgeon1'],Dr. Parvez Ansari,19 years experience overall,"Banjara Hills,Hyderabad",₹499,100% ,4 Patient Stories,Assisted Surgery Experience
5,['Plastic Surgeon1'],Dr. Beena Valandi,13 years experience overall,"SR Nagar,Hyderabad",₹699,100% ,2 Patient Stories,Assisted Surgery Experience
6,['Ophthalmologist3'],Dr. Syed Siddique Hussain,30 years experience overall,"Santosh Nagar,Hyderabad",₹499,100% ,1 Patient Story,Assisted Surgery Experience
7,['Ophthalmologist1'],Dr. Sushanth Bachu,13 years experience overall,"Secunderabad,Hyderabad",₹499,100% ,2 Patient Stories,Assisted Surgery Experience
8,['Plastic Surgeon'],Dr. Veena Priya D,8 years experience overall,"Kothapet,Hyderabad",₹699,NaN,NaN,Assisted Surgery Experience
9,['Plastic Surgeon1'],Dr. Harikiran Chekuri,17 years experience overall,"Gachibowli,Hyderabad",₹699,97% ,488 Patient Stories,Assisted Surgery Experience
10,['Orthopedist2'],Dr. Ajay Kumar Tiwari,21 years experience overall,"Somajiguda,Hyderabad",₹600,100% ,1 Patient Story,Assisted Surgery Experience
11,['Internal Medicine1'],Dr. Shaeq Mirza,17 years experience overall,"Hyderguda,Hyderabad",₹600,98% ,11 Patient Stories,Assisted Surgery Experience
12,['General Physician2'],Dr. Syed Athar Hussain,29 years experience overall,"Kondapur,Hyderabad",₹550,93% ,30 Patient Stories,Assisted Surgery Experience
13,['General Physician3'],Dr. Indira Ramasahayam Reddy,36 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,5 Patient Stories,Assisted Surgery Experience
14,['General Physician1'],Dr. Murali Yelchuri,17 years experience overall,"Miyapur,Hyderabad",₹600,91% ,15 Patient Stories,Assisted Surgery Experience
15,['General Physician4'],Dr. Vasanth Kumar,45 years experience overall,"Jubilee Hills,Hyderabad",₹600,67% ,5 Patient Stories,Assisted Surgery Experience
16,['General Physician4'],Dr. S.Bhattacharjee,44 years experience overall,"Secunderabad,Hyderabad",₹600,89% ,10 Patient Stories,Assisted Surgery Experience
17,['Neurologist2'],Dr. Neehar Potluri,23 years experience overall,"Kukatpally,Hyderabad",₹500,98% ,447 Patient Stories,Assisted Surgery Experience
18,['General Physician2'],Dr. Neelwanti Soni,20 years experience overall,"Kondapur,Hyderabad",₹450,88% ,160 Patient Stories,Assisted Surgery Experience
19,['Internal Medicine2'],Dr. Jaganmani Sreekanth,29 years experience overall,"Jubilee Hills,Hyderabad",₹800,100% ,6 Patient Stories,Assisted Surgery Experience
20,['Gastroenterologist1'],Dr. Seetharam Kumar D,27 years experience overall,"Nizampet,Hyderabad",₹500,99% ,208 Patient Stories,Cosmedent Speciality Dental Clinic
21,['Internal Medicine2'],Dr. Kembavi Srinivas,37 years experience overall,"KPHB,Hyderabad",₹800,96% ,837 Patient Stories,Cosmedent Speciality Dental Clinic
